Symbol,Annual_Return,Annual_Volatility,Sharpe_Ratio,Max_Drawdown,Risk_Level
BHARTI,0.2936957203098293,0.3168375786963254,0.9269598685808779,-0.5419426048565121,LOW RISK
UTIBANK,0.2667500032473843,0.35369543761357386,0.754179938104882,-0.5901942645698426,LOW RISK
SHREECEM,0.19112865517990146,0.27577005699414425,0.6930725447975663,-0.7997340264764553,LOW RISK
BAJFINANCE,0.19548680451006378,0.33026124783670974,0.5919156600738027,-0.9328201662380522,MEDIUM RISK
NESTLEIND,0.0989546808951011,0.171387255333527,0.5773747919734814,-0.3240105825819344,MEDIUM RISK
HINDUNILVR,0.10919914403778969,0.18921446263565067,0.577118379413007,-0.2678124478558326,MEDIUM RISK
BAJAJFINSV,0.16154902438511096,0.2836454968634988,0.5695455283848718,-0.8678943154523618,MEDIUM RISK
MARUTI,0.13419985192336295,0.2439338359751496,0.5501485736363133,-0.6133966466361308,MEDIUM RISK
BAJAUTOFIN,0.1955680287171273,0.3578203662170259,0.5465536542392084,-0.9180201082753288,MEDIUM RISK
ULTRACEMCO,0.12446319367479118,0.2353193104438336,0.5289119428407396,-0.7777968501909621,MEDIUM RISK
EICHERMOT,0.17350359122561013,0.3398374253835519,0.5105488044166653,-0.9382370796620408,MEDIUM RISK
UPL,0.13354150506271176,0.28190839958664565,0.4737053073215268,-0.7538907684871922,MEDIUM RISK
ADANIPORTS,0.12702498024887804,0.2699981157631962,0.47046617303168964,-0.5369359331476325,MEDIUM RISK
BAJAJ-AUTO,0.10420666994858663,0.2396443393904588,0.43483885416880214,-0.599151131824235,MEDIUM RISK
TITAN,0.15199370651846347,0.3536271362471841,0.4298134700053686,-0.966868875408306,MEDIUM RISK
INDUSINDBK,0.15390476583707324,0.35863790233315895,0.42913692288469396,-0.8510664590593413,MEDIUM RISK
TELCO,0.14746610093739615,0.3485356590187694,0.4231019039846789,-0.7728414139463012,MEDIUM RISK
TISCO,0.12915934459230013,0.310914454714881,0.41541762576057645,-0.6310013717421129,MEDIUM RISK
ASIANPAINT,0.10135203692557372,0.2509921959149955,0.40380553090941124,-0.9248048186299899,MEDIUM RISK
KOTAKBANK,0.13285494509210458,0.33566198408951836,0.3957997967880486,-0.8450689099695723,MEDIUM RISK
SESAGOA,0.17248540000631216,0.43967402559809154,0.39230291071135964,-0.985520924450992,MEDIUM RISK
HDFCBANK,0.09947364509123893,0.2691020344894396,0.3696502900097643,-0.841764751734352,MEDIUM RISK
HDFC,0.10559644538624877,0.2929389164092325,0.3604725745579385,-0.8147414430136947,MEDIUM RISK
ICICIBANK,0.11739601620263741,0.3365591534553958,0.3488124301399989,-0.897998996711443,MEDIUM RISK
JSWSTEEL,0.12866565415197256,0.37318156880173814,0.3447803024278762,-0.9244584038012401,MEDIUM RISK
SSLT,0.08827082280076554,0.2672086164070963,0.3303442231304533,-0.4101748807631152,MEDIUM RISK
RELIANCE,0.08910677807970631,0.26981298010667976,0.33025385970858373,-0.7900864678578633,MEDIUM RISK
BRITANNIA,0.0753401162959649,0.2373908653441173,0.31736737715983004,-0.8536304097130049,MEDIUM RISK
TCS,0.07607567561367266,0.26655065263334954,0.2854079510295464,-0.8205949992660369,HIGH RISK
GRASIM,0.07811398113871348,0.27973646514901657,0.279241324855885,-0.9243109286619625,HIGH RISK
HEROHONDA,0.08900912491308834,0.3219718087627795,0.2764500570876625,-0.9098984281466033,HIGH RISK
HINDALCO,0.08663270088013655,0.32659446111476015,0.2652607781051596,-0.8299226921327879,HIGH RISK
TATASTEEL,0.08147920040121467,0.3131465676713997,0.2601950933299542,-0.8495297805642633,HIGH RISK
TECHM,0.0807722507611434,0.3141413374804681,0.25712073237150923,-0.8943356219709209,HIGH RISK
SBIN,0.07732593834423457,0.3013038736840809,0.25663771726118373,-0.956775885041333,HIGH RISK
DRREDDY,0.06656219323509839,0.26094951011836787,0.2550769043594122,-0.8130794412374737,HIGH RISK
AXISBANK,0.08414533945163277,0.3364358082811463,0.25010815549489845,-0.850174216027874,HIGH RISK
POWERGRID,0.05147435492350364,0.21008835961046654,0.24501288419284323,-0.6412001237240952,HIGH RISK
LT,0.069330398706737,0.2894601932250723,0.23951617641887132,-0.8752856857567621,HIGH RISK
GAIL,0.060772637310464915,0.2850289140853316,0.21321569253942735,-0.8723325974981595,HIGH RISK
VEDL,0.07063949240735745,0.33433061877404696,0.21128633885339182,-0.821903935185185,HIGH RISK
M&M,0.0656108329890963,0.3124681374098801,0.20997607478624702,-0.9207708779443254,HIGH RISK
HEROMOTOCO,0.042435427405444745,0.20302060378380732,0.20902029948957004,-0.6163202805665662,HIGH RISK
BHARTIARTL,0.05235449170664625,0.2719000333422735,0.19255051594915149,-0.7847465908586154,HIGH RISK
BPCL,0.06149199040888894,0.3310280868436072,0.18576064344032708,-0.773052148592605,HIGH RISK
TATAMOTORS,0.0626196377155657,0.3443470312383433,0.18185037777259905,-0.9521664285975903,HIGH RISK
HCLTECH,0.060578199938505876,0.3650440201575766,0.16594765725064176,-0.9681818987992835,HIGH RISK
SUNPHARMA,0.05030374420218873,0.3268903628693244,0.15388567518675317,-0.9070559610705596,HIGH RISK
NTPC,0.03220988436823972,0.21347631714661672,0.15088270586061212,-0.7316002107851755,HIGH RISK
KOTAKMAH,0.0869478982440031,0.577792840911914,0.15048282375180647,-0.889451305932375,HIGH RISK
CIPLA,0.04088409673304032,0.2736799552480091,0.14938652228290195,-0.8907353693908892,HIGH RISK
ITC,0.04057522135943068,0.27664166854013106,0.14667067898176964,-0.9404927581052522,HIGH RISK
ZEEL,0.04679891060677659,0.3246252200953535,0.1441628921900466,-0.8057548092598628,HIGH RISK
ONGC,0.03708437123485438,0.2947059936958913,0.12583514427304773,-0.959574181377173,HIGH RISK
UNIPHOS,0.030278865112204525,0.37419881240905106,0.0809165184605277,-0.9253084865273232,HIGH RISK
IOC,0.0238798959903891,0.2976439041634155,0.08022974990033162,-0.9099943392666201,HIGH RISK
WIPRO,0.02743336099085915,0.34357270440576126,0.07984732383880007,-0.9830664045184069,HIGH RISK
INFOSYSTCH,0.017601336698273934,0.3771658400584758,0.04666736705409223,-0.9346045005013082,HIGH RISK
INFY,0.011689922481912503,0.2830126990472959,0.041305293088487634,-0.8794177603701413,HIGH RISK
HINDALC0,0.004482746036244948,0.34341149804096616,0.013053570022603593,-0.9221445063153607,HIGH RISK
ZEETELE,-0.010132040261815939,0.4500108961038575,-0.02251509985544345,-0.9595900629175587,HIGH RISK
COALINDIA,-0.023625630319292774,0.2108680086821913,-0.11203989864057581,-0.7506765899864675,HIGH RISK
HINDLEVER,-0.041350632447131976,0.3387732407133377,-0.12205991346914544,-0.9662077198567448,HIGH RISK
MUNDRAPORT,-0.07450624245371716,0.4619752031912558,-0.16127757927057373,-0.9122719798080231,HIGH RISK
